x,N_h,N_m,year
0,64805,62555,2010
1,275254,267633,2010
5,374405,363206,2010
10,381637,368880,2010
15,386075,382399,2010
20,311456,338446,2010
25,262572,302279,2010
30,250371,296203,2010
35,254563,295059,2010
40,231706,261444,2010
45,204305,226287,2010
50,175285,195434,2010
55,144687,157708,2010
60,115736,127429,2010
65,88679,97860,2010
70,73589,83918,2010
75,47357,54211,2010
80,28722,34825,2010
85,25115,32652,2010
0,55613,54567,2019
1,250171,244979,2019
5,344718,335103,2019
10,350193,340096,2019
15,347191,340622,2019
20,293831,310278,2019
25,272045,307456,2019
30,262543,304202,2019
35,258414,299926,2019
40,246218,288278,2019
45,237442,272132,2019
50,223464,255505,2019
55,188631,211356,2019
60,159045,179975,2019
65,127136,144111,2019
70,93682,105819,2019
75,67127,74879,2019
80,41844,50657,2019
85,35873,48316,2019
0,53755,52935,2021
1,244915,240211,2021
5,338448,329159,2021
10,343565,334011,2021
15,339097,331976,2021
20,290052,304344,2021
25,274196,308618,2021
30,265328,306009,2021
35,259277,301019,2021
40,249564,294605,2021
45,245507,283521,2021
50,235854,271186,2021
55,200083,225565,2021
60,170686,194327,2021
65,137731,157054,2021
70,98845,111415,2021
75,72539,80451,2021
80,45494,55056,2021
85,38831,52712,2021
