x,Dx_h,Dx_m,year
0,1082,842,2010
1,224,177,2010
5,106,85,2010
10,143,101,2010
15,389,190,2010
20,518,221,2010
25,613,254,2010
30,711,273,2010
35,847,375,2010
40,1019,430,2010
45,1126,664,2010
50,1406,876,2010
55,1614,1180,2010
60,1895,1454,2010
65,2029,1780,2010
70,2494,2206,2010
75,2504,2492,2010
80,2363,2426,2010
85,3473,4338,2010
0,731,643,2019
1,152,135,2019
5,106,86,2019
10,122,84,2019
15,356,144,2019
20,640,175,2019
25,833,239,2019
30,834,311,2019
35,924,374,2019
40,1077,550,2019
45,1421,870,2019
50,1810,1114,2019
55,2225,1592,2019
60,2691,2063,2019
65,2820,2402,2019
70,3079,2648,2019
75,3335,2956,2019
80,3298,3369,2019
85,4797,6195,2019
0,627,537,2021
1,117,110,2021
5,69,61,2021
10,116,87,2021
15,344,146,2021
20,578,194,2021
25,821,331,2021
30,979,408,2021
35,1154,636,2021
40,1489,855,2021
45,2103,1339,2021
50,2765,1702,2021
55,3556,2664,2021
60,3999,3199,2021
65,4535,3683,2021
70,4631,3881,2021
75,4733,3915,2021
80,4485,4272,2021
85,6442,7468,2021
